Internal ID,Item Name,Display Name,UPC Code,Bin Number,Bin OnHand,Bin Available,Bin Location,Item Status,Average Cost,Average Cost Per Bin,Subsidiary
34413,WNLM00004,FIREFLY CUSTOM 6 OZ. LOCAL MARKET SANTO WOOD AND SUEDE GLASS,,B70-A-009,40,40,MC-PW,Current,8.00,320.00,PW
34414,WNLM00005,FIREFLY CUSTOM 6 OZ. LOCAL MARKET LEMON BERGAMOT GLASS,,B60-A-040,23,23,MC-PW,Current,8.00,184.00,PW
34415,WNLM00006,FIREFLY CUSTOM 6 OZ. LOCAL MARKET PEONY AND PEAR GLASS,,B70-A-009,31,31,MC-PW,Current,8.00,248.00,PW
32233,WPCC03003,FIREFLY CLASSIC 3 OZ. WAX MELTS COCONUT LIME,792834803543,B60-A-002,19,19,MC-PW,DISCONTINUED 6.15.20,2.36684211,44.97,PW
32621,WPCC03018,FIREFLY CLASSIC 3 OZ. WAX MELTS SWEET OLIVE LEAF,792834803598,B60-A-019,8,8,MC-PW,DISCONTINUED 6.15.20,2.34,18.72,PW
32616,WPCC03020,FIREFLY CLASSIC 3 OZ. WAX MELTS HAZZELNUT COFFEE,792834803611,B60-A-011,33,33,MC-PW,DISCONTINUED 6.15.20,2.27348837,75.025,PW
32625,WPCC03022,FIREFLY CLASSIC 3 OZ. WAX MELTS WILD IRIS,792834803635,B60-A-024,33,33,MC-PW,DISCONTINUED 6.15.20,2.26170732,74.636,PW
32617,WPCC03024,FIREFLY CLASSIC 3 OZ. WAX MELTS LEMON HONEY TEA,792834803659,B60-A-036,12,12,MC-PW,DISCONTINUED 6.15.20,2.01333333,24.16,PW
32235,WPCC04003,FIREFLY CLASSIC 4 OZ. ROOM SPRAY COCONUT LIME,700755545213,B50-A-036,28,28,MC-PW,DISCONTINUED 6.15.20,3.03214286,84.90,PW
32236,WPCC04004,FIREFLY CLASSIC 4 OZ. ROOM SPRAY GRAPEFRUIT MANGOSTEEN,700755545220,B60-A-013,30,30,MC-PW,DISCONTINUED 6.15.20,2.40813559,72.244,PW
32242,WPCC04012,FIREFLY CLASSIC 4 OZ. ROOM SPRAY PEPPERMENT EUCALYPTUS,700755545244,B60-A-023,102,102,MC-PW,DISCONTINUED 6.15.20,2.47889908,252.848,PW
32241,WPCC04017,FIREFLY CLASSIC 4 OZ. ROOM SPRAY ORANGE CLOVE,614253979893,B70-A-047,95,95,MC-PW,DISCONTINUED 6.15.20,2.609375,247.891,PW
32243,WPCC04018,FIREFLY CLASSIC 4 OZ. ROOM SPRAY SWEET OLIVE LEAF,614253979909,B60-A-022,43,43,MC-PW,DISCONTINUED 6.15.20,2.75911111,118.642,PW
32238,WPCC04020,FIREFLY CLASSIC 4 OZ. ROOM SPRAY HAZELNUT COFFEE,614253979916,B60-A-019,52,52,MC-PW,DISCONTINUED 6.15.20,2.6326506,136.898,PW
32246,WPCC04022,FIREFLY CLASSIC 4 OZ. ROOM SPRAY WILD IRIS,700755545251,B70-A-023,92,92,MC-PW,DISCONTINUED 6.15.20,2.52867347,232.638,PW
32245,WPCC04023,FIREFLY CLASSIC 4 OZ. ROOM SPRAY WASABI MELON,700755545268,B50-A-052,80,80,MC-PW,DISCONTINUED 6.15.20,2.28804878,183.044,PW
32239,WPCC04024,FIREFLY CLASSIC 4 OZ. ROOM SPRAY LEMON HONEY TEA,792834803505,B50-A-048,98,98,MC-PW,DISCONTINUED 6.15.20,2.625,257.25,PW
32240,WPCC04025,FIREFLY CLASSIC 4 OZ. ROOM SPRAY LINEN ROSEWOOD,792834803857,B50-A-036,44,44,MC-PW,DISCONTINUED 6.15.20,2.9909434,131.602,PW
32211,WPCC08001,FIREFLY CLASSIC 6 OZ. TIN AMBER OAK,700755544940,B50-A-057,14,14,MC-PW,Current,3.43785714,48.13,PW
32463,WPCC08004,FIREFLY CLASSIC 6 OZ. TIN GRAPEFRUIT MANGOSTEEN,700755544964,B50-A-051,122,122,MC-PW,CURRENT,2.89795082,353.55,PW
