Internal ID,Item Name,Display Name,UPC Code,Bin Number,Bin OnHand,Bin Available,Bin Location,Item Status,Average Cost,Average Cost Per Bin,Subsidiary,Item Type
37181,NBH0803CAN,FOUNDRY: 8 OZ OPAQUE NAVY IRIDESCENT GLASS WITH GOLD LID TONKA NOIR (BBB CANADA),647658030159,STA-PFG,228,228,MC-PW,CUSTOM ITEM BBB 2020,3.32416667,757.91,PW,Assembly/Bill of Materials
36562,NBH0804,8 OZ OPAQUE GREEN IRIDESCENT GLASS WITH GOLD LID JUNIPER FOREST,647658030166,B50-A-002,720,700,MC-PW,CUSTOM ITEM BBB 2020,3.38687169,2370.81,PW,Assembly/Bill of Materials
36562,NBH0804,8 OZ OPAQUE GREEN IRIDESCENT GLASS WITH GOLD LID JUNIPER FOREST,647658030166,OB-STG001,876,12,MC-PW,CUSTOM ITEM BBB 2020,3.38687169,40.642,PW,Assembly/Bill of Materials
36562,NBH0804,8 OZ OPAQUE GREEN IRIDESCENT GLASS WITH GOLD LID JUNIPER FOREST,647658030166,STA-PFG,1428,1428,MC-PW,CUSTOM ITEM BBB 2020,3.38687169,4836.453,PW,Assembly/Bill of Materials
37182,NBH0804CAN,FOUNDRY: 8 OZ OPAQUE GREEN IRIDESCENT GLASS WITH GOLD LID JUNIPER FOREST (BBB CANADA),647658030166,STA-PFG,228,228,MC-PW,CUSTOM ITEM BBB 2020,3.40184211,775.62,PW,Assembly/Bill of Materials
36563,NBH0805,FOUNDRY: 8 OZ OPAQUE RED IRIDESCENT GLASS WITH GOLD LID STRAWBERRY ROSE,647658030173,B50-A-004,176,160,MC-PW,CUSTOM ITEM BBB 2020,3.37477115,539.963,PW,Assembly/Bill of Materials
36563,NBH0805,FOUNDRY: 8 OZ OPAQUE RED IRIDESCENT GLASS WITH GOLD LID STRAWBERRY ROSE,647658030173,OB-STG001,776,8,MC-PW,CUSTOM ITEM BBB 2020,3.37477115,26.998,PW,Assembly/Bill of Materials
36563,NBH0805,FOUNDRY: 8 OZ OPAQUE RED IRIDESCENT GLASS WITH GOLD LID STRAWBERRY ROSE,647658030173,STA-PFG,1932,1932,MC-PW,CUSTOM ITEM BBB 2020,3.37477115,6520.058,PW,Assembly/Bill of Materials
37183,NBH0805CAN,FOUNDRY: 8 OZ OPAQUE RED IRIDESCENT GLASS WITH GOLD LID STRAWBERRY ROSE (BBB CANADA),647658030173,STA-PFG,220,220,MC-PW,CUSTOM ITEM BBB 2020,3.59368182,790.61,PW,Assembly/Bill of Materials
36564,NBH0806,FOUNDRY: 8 OZ OPAQUE RAINBOW IRIDESCENT GLASS WITH GOLD LID BLACKBERRY SANDALWOOD,647658030180,A60-B-225,4,0,MC-PW,CUSTOM ITEM BBB 2020,3.13372774,.00,PW,Assembly/Bill of Materials
36564,NBH0806,FOUNDRY: 8 OZ OPAQUE RAINBOW IRIDESCENT GLASS WITH GOLD LID BLACKBERRY SANDALWOOD,647658030180,B50-A-006,316,300,MC-PW,CUSTOM ITEM BBB 2020,3.13372774,940.118,PW,Assembly/Bill of Materials
36564,NBH0806,FOUNDRY: 8 OZ OPAQUE RAINBOW IRIDESCENT GLASS WITH GOLD LID BLACKBERRY SANDALWOOD,647658030180,OB-STG001,784,8,MC-PW,CUSTOM ITEM BBB 2020,3.13372774,25.07,PW,Assembly/Bill of Materials
36564,NBH0806,FOUNDRY: 8 OZ OPAQUE RAINBOW IRIDESCENT GLASS WITH GOLD LID BLACKBERRY SANDALWOOD,647658030180,STA-PFG,1592,1592,MC-PW,CUSTOM ITEM BBB 2020,3.13372774,4988.895,PW,Assembly/Bill of Materials
37184,NBH0806CAN,FOUNDRY: 8 OZ OPAQUE RAINBOW IRIDESCENT GLASS WITH GOLD LID BLACKBERRY SANDALWOOD (BBB CANADA),647658030180,STA-PFG,220,220,MC-PW,CUSTOM ITEM BBB 2020,3.33472727,733.64,PW,Assembly/Bill of Materials
6263,NBQ0903,F&F: BOUQUET 9 OZ. ROSE CERAMIC GREEN WHITE FLOWERS,647658002132,A70-B-179,195,195,MC-PW,Custom Order Item,2.40558974,469.09,PW,Assembly/Bill of Materials
6707,NBW1002,URBAN OUTFITTERS BLACK & WHITE CERAMIC LIGHT LINES WITH WOOD,647658004259,A60-C-103,24,24,MC-PW,INACTIVE,4.84,116.16,PW,Assembly/Bill of Materials
17412,NC45-2069CI,AQUA GOLD FOIL DOT NOTECARD WITH GRID LINER,812442024205,PRODUCTION-INK,8,8,INK Fidelitone,Discontinued,2.14,17.12,INK,Inventory Item
14399,NC45-2070,CACTUS CUTIES NOTE CARDS,812442022669,PRODUCTION-INK,84,84,INK Fidelitone,DISCONTINUED 6/2019,2.40850575,202.314,INK,Inventory Item
14399,NC45-2070,CACTUS CUTIES NOTE CARDS,812442022669,S2B-B-039,3,3,B2C Warehouse INK,DISCONTINUED 6/2019,2.40850575,7.226,INK,Inventory Item
15777,NC45-2179,BONJOUR,812442024052,PRODUCTION-INK,6,6,INK Fidelitone,Discontinued,2.31,13.86,INK,Inventory Item
18584,NC45-2189,BOXED NOTE CARDS- HELLO PINK OMBRE (FOIL LINED),812442026377,S2B-B-047,9,9,B2C Warehouse INK,DISCONTINUED 6/2019,2.36,21.24,INK,Inventory Item
22900,NC45-2189BN,BOXED NOTE CARDS- HELLO PINK OMBRE (FOIL LINED) B&N,812442026377,A10-A2-202,4,4,MC-INK,CUSTOM ITEM B&N,2.51171875,10.047,INK,Assembly/Bill of Materials
22900,NC45-2189BN,BOXED NOTE CARDS- HELLO PINK OMBRE (FOIL LINED) B&N,812442026377,A10-A2-204-02,60,60,MC-INK,CUSTOM ITEM B&N,2.51171875,150.703,INK,Assembly/Bill of Materials
18586,NC45-2191,BOXED NOTE CARDS- RADIATE CHEERS (FOIL LINED),812442026391,S2B-C-072,43,43,B2C Warehouse INK,DISCONTINUED 6/2019,2.36,101.48,INK,Inventory Item
25513,NC45-2193,"""CELEBRATE"" GEO GEO",812442031753,PRODUCTION-INK,132,132,INK Fidelitone,DISCONTINUED 6/2019,2.80895425,370.782,INK,Inventory Item
25513,NC45-2193,"""CELEBRATE"" GEO GEO",812442031753,S2B-A-014,21,21,B2C Warehouse INK,DISCONTINUED 6/2019,2.80895425,58.988,INK,Inventory Item
25514,NC45-2194,OMG!,812442031760,PRODUCTION-INK,60,60,INK Fidelitone,DISCONTINUED 6/2019,2.75531646,165.319,INK,Inventory Item
25514,NC45-2194,OMG!,812442031760,S2B-A-012,19,19,B2C Warehouse INK,DISCONTINUED 6/2019,2.75531646,52.351,INK,Inventory Item
36779,NCB1204,FOUNDRY: 12 OZ. COBALT BLUE GLASS WITH SILVER LID WILD FERN,647658031873,TCB-E-185,24,24,MC-PW,CUSTOM ITEM ROSS,3.05458333,73.31,PW,Assembly/Bill of Materials
