,Internal ID,Item Name,UPC Code,Bin Number,Bin OnHand,Bin Available,Bin Location,Item Status,Average Cost,Average Cost Per Bin,Subsidiary,Item Type,Inactive
4786,31169,GLCD : 25823,,A10-A-186,672.0,672.0,MC-PW,CUSTOM ITEM MEIJER,1.18899054,799.002,PW,Inventory Item,No
10712,37566,REFD04Z,647658032023,A10-A-188,126.0,126.0,MC-PW,WEB/AMAZON ,5.54780664,699.0239999999999,PW,Assembly/Bill of Materials,No
2814,7377,EG09Z,647658386867,A10-A-190,252.0,252.0,MC-PW,WEB/AMAZON ,4.9529525,1248.144,PW,Assembly/Bill of Materials,No
12481,29273,WIC02Z,647658116167,A10-A-192,6.0,6.0,MC-PW,WEB/AMAZON ,4.31643382,25.899,PW,Assembly/Bill of Materials,No
3170,33889,FH0801Z,647658018461,A10-A-208-02,8.0,8.0,MC-PW,WEB/AMAZON ,4.18134048,33.451,PW,Assembly/Bill of Materials,No
9935,6955,NT202BN,647658004730,A10-A-208-02,6.0,6.0,MC-PW,INACTIVE,1.04,6.24,PW,Assembly/Bill of Materials,No
11998,21929,UR0809,647658014623,A10-A-208-02,1.0,1.0,MC-PW,DISCONTINUED 6/2020,3.6108596,3.611,PW,Assembly/Bill of Materials,No
4524,20286,GLCD : 25513,,A10-A-216-02,70.0,70.0,MC-PW,INACTIVE 8/20,0.68,47.6,PW,Inventory Item,No
2342,29811,DCTT-1005,812442033320,A10-A-220-02,1.0,1.0,MC-INK,FALL 2019,2.25,2.25,INK,Inventory Item,No
11078,35041,SP1109,647658025421,A10-A2-210,12.0,12.0,MC-PW,PADDYWAX FALL 2020,2.11305735,25.357,PW,Inventory Item,No
5494,15634,JBS86-2126,812442023383,A10-A2-210,24.0,24.0,MC-INK,INACTIVE 12/2019,2.32037037,55.68899999999999,INK,Inventory Item,No
5463,15423,JB972-2097,812442022973,A10-A2-210,12.0,12.0,MC-INK,Discontinued,1.84,22.08,INK,Inventory Item,No
5364,17519,JB85-2037,812442024885,A10-A2-210,24.0,24.0,MC-INK,DISCONTINUED 12/2019,2.211875,53.085,INK,Inventory Item,No
11310,34338,TCOMP-100ST,840111507315,A10-A2-210,48.0,48.0,MC-INK,INACTIVE,0.7375,35.4,INK,Inventory Item,No
12101,21063,VLP0702,647658013756,A10-A2-228,20.0,20.0,MC-PW,Discontinued,2.3,46.0,PW,Assembly/Bill of Materials,No
12100,21062,VLP0701,647658013749,A10-A2-228,8.0,8.0,MC-PW,Discontinued,2.32125,18.57,PW,Assembly/Bill of Materials,No
5635,36161,JF711-1004,840111508114,A10-A2-228-02,21.0,21.0,MC-INK,DWI FALL 2020,2.01657267,42.348,INK,Inventory Item,No
12104,21066,VLP0705,647658013787,A10-A2-230,12.0,12.0,MC-PW,Discontinued,2.38,28.56,PW,Assembly/Bill of Materials,No
10666,37521,RE1301Z,647658032092,A10-B-002,252.0,252.0,MC-PW,WEB/AMAZON ,4.99094421,1257.718,PW,Assembly/Bill of Materials,No
10734,21940,RJ214,647658014562,A10-B-004,55.0,55.0,MC-PW,CURRENT,1.9409433999999997,106.75200000000001,PW,Assembly/Bill of Materials,No
4990,35452,GLCD : 25990,,A10-B-006,600.0,600.0,MC-PW,FIREFLY SPRING 2020,0.60314855,361.889,PW,Inventory Item,No
8797,36389,ML5435,817636019395,A10-B-008,3136.0,3136.0,MC-ONV,CURRENT,1.8071085999999998,5667.093000000001,ONV,Inventory Item,No
9086,17384,MLDK1,817636017766,A10-B-010,22.0,22.0,MC-ONV,Current,5.25314908,115.569,ONV,Assembly/Bill of Materials,No
649,5317,CARTONS : 50290,,A10-B-012,500.0,500.0,MC-PW,Discontinued,0.94953109,474.76599999999996,ONV,Inventory Item,No
650,5317,CARTONS : 50290,,A10-B-012,500.0,500.0,MC-PW,Discontinued,0.94953109,474.76599999999996,PW,Inventory Item,No
10654,37518,RE1203Z,647658031910,A10-B-014,192.0,192.0,MC-PW,WEB/AMAZON ,3.48985632,670.052,PW,Assembly/Bill of Materials,No
10748,7466,RJ803Z,647658111568,A10-B-016,204.0,204.0,MC-PW,WEB/AMAZON ,4.27120915,871.327,PW,Assembly/Bill of Materials,No
5039,37203,GLCD : 26043,,A10-B-018,48.0,48.0,MC-PW,PADDYWAX SPRING 2021,1.95484163,93.83200000000001,PW,Inventory Item,No
5048,37205,GLCD : 26045,,A10-B-018,455.0,455.0,MC-PW,PADDYWAX SPRING 2021,1.95484447,889.454,PW,Inventory Item,No
5201,15003,HY1504Z,647658009193,A10-B-020,252.0,252.0,MC-PW,WEB/AMAZON ,5.78501922,1457.825,PW,Assembly/Bill of Materials,No
10749,7466,RJ803Z,647658111568,A10-B-022,132.0,132.0,MC-PW,WEB/AMAZON ,4.27120915,563.8,PW,Assembly/Bill of Materials,No
12981,34842,WPCRV0802,647658028514,A10-B-024,232.0,232.0,MC-PW,FIREFLY SPRING 2020,6.92783354,1607.257,PW,Assembly/Bill of Materials,No
1512,37445,CARTONS : 51205,,A10-B-026,300.0,300.0,MC-PW,PADDYWAX SPRING 2021,0.9336558,280.097,PW,Inventory Item,No
5625,22294,JF468-1004,812442028197,A10-B-028,204.0,204.0,MC-INK,DISCONTINUED 1/2020,2.62202958,534.894,INK,Inventory Item,No
4202,4024,GLCD : 25062,,A10-B-030,1440.0,1440.0,MC-PW,Current,0.64123611,923.38,PW,Inventory Item,No
1144,22148,CARTONS : 50871,,A10-B-032,600.0,600.0,MC-PW,Current,0.55076881,330.461,PW,Inventory Item,No
4082,7436,GL10Z,647658002095,A10-B-034,96.0,96.0,MC-PW,WEB/AMAZON ,4.34048193,416.686,PW,Assembly/Bill of Materials,No
1215,25720,CARTONS : 50950,,A10-B-036,450.0,450.0,MC-PW,CUSTOM TARGET C2 SPRING 2019,0.72605917,326.72700000000003,PW,Inventory Item,No
10584,3373,RBFD : 20029,,A10-B-038,387.0,387.0,MC-PW,DISCONTINUED 6/2020,1.82939739,707.977,PW,Inventory Item,No
10001,35182,PDFD07Z,647658023366,A10-B-040,90.0,90.0,MC-PW,WEB/AMAZON ,5.68758405,511.88300000000004,PW,Assembly/Bill of Materials,No
5122,25520,GLFD : 25705,,A10-B-042,1120.0,1120.0,MC-PW,CUSTOM TARGET C2 SPRING 2019,0.38055488,426.221,PW,Inventory Item,No
10585,3373,RBFD : 20029,,A10-B-044,540.0,540.0,MC-PW,DISCONTINUED 6/2020,1.82939739,987.875,PW,Inventory Item,No
10586,3373,RBFD : 20029,,A10-B-046,540.0,540.0,MC-PW,DISCONTINUED 6/2020,1.82939739,987.875,PW,Inventory Item,No
5485,12226,JBP64-1024,812442020481,A10-B-046,12.0,12.0,MC-INK,CUSTOM ITEM MEIJER,2.17883094,26.146,INK,Inventory Item,No
10047,35804,PDFD10Z,647658025506,A10-B-048,114.0,114.0,MC-PW,WEB/AMAZON ,4.60035363,524.44,PW,Assembly/Bill of Materials,No
9431,31268,NFD1502,647658024295,A10-B-050,336.0,336.0,MC-PW,CUSTOM ITEM MEIJER,4.26927048,1434.475,PW,Assembly/Bill of Materials,No
11597,24215,TJBP85-1024S,812442030466,A10-B-052,812.0,812.0,MC-INK,Current,2.34185379,1901.585,INK,Inventory Item,No
5052,37206,GLCD : 26046,,A10-B-054,427.0,427.0,MC-PW,PADDYWAX SPRING 2021,1.95459593,834.612,PW,Inventory Item,No
1245,26739,CARTONS : 50952D,,A10-B-056,2250.0,2250.0,MC-PW,CUSTOM TARGET C2 SPRING 2019,0.39999924,899.998,PW,Inventory Item,No
1219,25722,CARTONS : 50952,,A10-B-056,1125.0,1125.0,MC-PW,CURRENT,0.43249570000000004,486.55800000000005,PW,Inventory Item,No
4903,34385,GLCD : 25913,,A10-B-058,252.0,252.0,MC-PW,CUSTOM ITEM MEIJER,1.04400794,263.09,PW,Inventory Item,No
1048,20252,CARTONS : 50849,,A10-B-060,825.0,825.0,MC-PW,Current,0.35500004,292.875,PW,Inventory Item,No
9658,34360,NFG0903,647658025636,A10-B-068,76.0,76.0,MC-PW,CUSTOM ITEM MEIJER,3.23232638,245.657,PW,Assembly/Bill of Materials,No
5260,33649,IM0506Z,647658021072,A10-B-070,240.0,240.0,MC-PW,WEB/AMAZON ,4.28267368,1027.8419999999999,PW,Assembly/Bill of Materials,No
9575,37551,NFD1511,647658034454,A10-B-072,336.0,336.0,MC-PW,CUSTOM ITEM MEIJER,4.2042622000000005,1412.632,PW,Assembly/Bill of Materials,No
1812,15533,CERAMIC : 36186,,A10-B-074,1620.0,1620.0,MC-PW,DISCONTINUED 6/2020,0.7334648,1188.213,PW,Inventory Item,No
2275,34382,CFHT201,647658026220,A10-B-076,1008.0,1008.0,MC-PW,PADDYWAX FALL 2020,1.45039541,1461.999,PW,Assembly/Bill of Materials,No
1539,37649,CARTONS : 51221,,A10-B-078,800.0,800.0,MC-PW,WEB/AMAZON ,0.55900029,447.2,PW,Inventory Item,No
194,27657,AL0907Z,647658115726,A10-B-080,44.0,44.0,MC-PW,WEB/AMAZON ,4.91897778,216.435,PW,Assembly/Bill of Materials,No
